iter	Passed	Remaining
0	316	94670
1	439	65496
2	557	55203
3	683	50584
4	812	47964
5	935	45826
6	1055	44163
7	1184	43227
8	1318	42619
9	1448	41998
10	1579	41497
11	1697	40730
12	1825	40311
13	1936	39566
14	2059	39128
15	2176	38627
16	2297	38246
17	2417	37868
18	2516	37219
19	2634	36888
20	2742	36431
21	2844	35938
22	2953	35567
23	3082	35448
24	3207	35284
25	3314	34932
26	3422	34603
27	3527	34271
28	3643	34045
29	3750	33752
30	3853	33437
31	3954	33121
32	4051	32780
33	4151	32475
34	4256	32224
35	4357	31953
36	4473	31795
37	4569	31504
38	4659	31182
39	4748	30867
40	4841	30586
41	4942	30363
42	5041	30134
43	5139	29902
44	5236	29671
45	5340	29488
46	5445	29315
47	5547	29126
48	5648	28935
49	5745	28726
50	5846	28545
51	5945	28356
52	6045	28173
53	6141	27978
54	6242	27809
55	6340	27628
56	6434	27430
57	6533	27260
58	6642	27130
59	6755	27020
60	6870	26917
61	6977	26783
62	7089	26668
63	7196	26535
64	7307	26421
65	7431	26348
66	7550	26256
67	7661	26138
68	7768	26006
69	7879	25889
70	8000	25805
71	8121	25718
72	8230	25593
73	8348	25496
74	8469	25409
75	8597	25338
76	8704	25207
77	8815	25090
78	8919	24952
79	9026	24822
80	9130	24686
81	9245	24578
82	9357	24464
83	9465	24340
84	9576	24223
85	9693	24121
86	9807	24011
87	9920	23899
88	10027	23772
89	10150	23683
90	10259	23563
91	10377	23462
92	10486	23340
93	10602	23235
94	10733	23161
95	10854	23065
96	10989	22998
97	11122	22925
98	11274	22890
99	11384	22768
100	11489	22638
101	11589	22496
102	11690	22360
103	11808	22253
104	11927	22150
105	12058	22069
106	12168	21949
107	12274	21821
108	12387	21705
109	12487	21569
110	12603	21460
111	12719	21351
112	12831	21235
113	12933	21102
114	13049	20992
115	13164	20881
116	13277	20768
117	13394	20659
118	13510	20549
119	13628	20442
120	13749	20340
121	13859	20221
122	13967	20099
123	14067	19966
124	14178	19849
125	14279	19719
126	14395	19609
127	14511	19500
128	14631	19395
129	14747	19284
130	14864	19176
131	14968	19050
132	15070	18923
133	15183	18809
134	15301	18702
135	15413	18586
136	15537	18485
137	15669	18394
138	15808	18310
139	15926	18201
140	16057	18107
141	16182	18006
142	16324	17923
143	16442	17812
144	16556	17698
145	16691	17605
146	16820	17506
147	16933	17391
148	17059	17288
149	17183	17183
150	17310	17081
151	17413	16955
152	17538	16850
153	17650	16733
154	17784	16636
155	17917	16539
156	18048	16439
157	18163	16324
158	18292	16222
159	18404	16104
160	18521	15990
161	18646	15884
162	18794	15796
163	18906	15678
164	19025	15566
165	19152	15460
166	19283	15357
167	19386	15232
168	19503	15118
169	19635	15015
170	19763	14909
171	19893	14804
172	20014	14692
173	20142	14585
174	20273	14481
175	20413	14382
176	20533	14268
177	20654	14156
178	20780	14047
179	20894	13929
180	21018	13818
181	21145	13710
182	21270	13599
183	21318	13440
184	21437	13325
185	21559	13213
186	21687	13105
187	21802	12988
188	21920	12874
189	22045	12763
190	22181	12658
191	22293	12539
192	22422	12431
193	22549	12320
194	22674	12209
195	22810	12103
196	22934	11990
197	23058	11878
198	23171	11760
199	23294	11647
200	23425	11538
201	23541	11421
202	23652	11302
203	23772	11187
204	23881	11067
205	23986	10945
206	24107	10830
207	24214	10710
208	24331	10593
209	24449	10478
210	24559	10359
211	24667	10239
212	24771	10118
213	24885	10000
214	24994	9881
215	25130	9773
216	25239	9653
217	25367	9542
218	25495	9430
219	25638	9323
220	25773	9213
221	25892	9097
222	25999	8977
223	26132	8866
224	26266	8755
225	26385	8639
226	26493	8520
227	26614	8404
228	26738	8290
229	26847	8171
230	26956	8051
231	27064	7932
232	27192	7819
233	27295	7698
234	27402	7579
235	27511	7460
236	27614	7340
237	27719	7220
238	27819	7100
239	27934	6983
240	28038	6864
241	28142	6744
242	28250	6626
243	28362	6509
244	28469	6391
245	28574	6272
246	28695	6157
247	28801	6038
248	28905	5920
249	29012	5802
250	29114	5683
251	29229	5567
252	29338	5450
253	29442	5332
254	29567	5217
255	29688	5102
256	29812	4988
257	29925	4871
258	30039	4755
259	30159	4639
260	30295	4526
261	30411	4410
262	30537	4296
263	30646	4179
264	30763	4063
265	30877	3946
266	31006	3832
267	31123	3716
268	31253	3601
269	31371	3485
270	31489	3369
271	31635	3256
272	31766	3141
273	31892	3026
274	32010	2910
275	32129	2793
276	32237	2676
277	32357	2560
278	32480	2444
279	32604	2328
280	32718	2212
281	32846	2096
282	32980	1981
283	33097	1864
284	33232	1749
285	33359	1632
286	33472	1516
287	33588	1399
288	33708	1283
289	33823	1166
290	33940	1049
291	34074	933
292	34203	817
293	34327	700
294	34445	583
295	34571	467
296	34695	350
297	34824	233
298	34954	116
299	35068	0
